MandiId,MandiName,DistrictId,DistrictName,State,Lat,Lon,Type
120,Piro,32,Buxar,Bihar,26.92824405,67.81003285,NULL
121,Subhai Chak,10,Vaishali,Bihar,25.72393931,85.25016189,NULL
122,Parsaunia,10,Vaishali,Bihar,25.78349,85.379498,NULL
123,Sarai ,10,Vaishali,Bihar,25.793503,85.277421,NULL
124,Bhagwanpur,10,Vaishali,Bihar,25.86362202,85.29049862,NULL
125,Musallapur Haat,6,Patna,Bihar,25.612916,85.176891,NULL
126,Lalganj Bypass,10,Vaishali,Bihar,25.79937984,82.99597006,NULL
127,Ganj Bazar,2,Muzaffarpur,Bihar,26.256338,85.351174,NULL
128,Pahadpur ,2,Muzaffarpur,Bihar,25.92112371,85.63192438,NULL
129,Bihari,10,Vaishali,Bihar,25.6838206,85.354965,NULL
130,Sahpur ,8,Bhojpur,Bihar,25.585983,84.448663,NULL
131,Behea,8,Bhojpur,Bihar,25.555588,84.467142,NULL
132,Karnamepur,8,Bhojpur,Bihar,25.668166,84.363406,NULL
133,Buxar,32,Buxar,Bihar,25.56471,83.977748,NULL
134,Dharahra ,8,Bhojpur,Bihar,25.569481,84.463862,NULL
135,Jahangirpur ,2,Muzaffarpur,Bihar,26.18924056,85.72178911,NULL
136,Neura,2,Muzaffarpur,Bihar,26.029453,85.186814,NULL
137,Khemaipatti,2,Muzaffarpur,Bihar,26.23742097,85.3714839,NULL
138,Satpura Mandi,10,Vaishali,Bihar,21.4166667,76.1666667,NULL
139,Banthu,10,Vaishali,Bihar,25.880645,85.283603,NULL
140,jamalpur ,8,Bhojpur,Bihar,25.626122,84.781162,NULL
141,saraiyan,8,Bhojpur,Bihar,25.650152,84.6295991,NULL
142,chandi ,8,Bhojpur,Bihar,25.541797,84.734168,NULL
143,Digha Mandi,6,Patna,Bihar,25.63708612,85.09865262,NULL
144,Bakhtiyar pur Mandi,6,Patna,Bihar,25.45613751,85.53804673,NULL
145,Satpura,10,Vaishali,Bihar,25.6838206,85.354965,NULL
146,Katarmala,10,Vaishali,Bihar,25.90930793,85.29074136,NULL
147,Bagradih Mandi,11,Begusarai,Bihar,25.418569,86.123391,NULL
148,Baramati ,25,Pune,Maharashtra,18.1841352,74.6107628,NULL
149,Bihta,6,Patna,Bihar,25.5584044,84.8678449,NULL
150,nayabhojpur,32,Buxar,Bihar,25.584852,84.156704,NULL
151,Dumaraon ,32,Buxar,Bihar,25.550113,84.150015,NULL
152,Bramhpur ,32,Buxar,Bihar,25.602254,84.298971,NULL
153,"Mithapur Mandi,Patna",6,Patna,Bihar,25.600862,85.132945,NULL
154,Motipur (Muzaffarpur),2,Muzaffarpur,Bihar,26.252548,85.160899,NULL
155,Ola Pur ,11,Begusarai,Bihar,25.416675,86.1293792,NULL
156,Bakhri ,11,Begusarai,Bihar,25.594594,86.264108,NULL
157,khadiyahi,1,Samastipur,Bihar,25.7470658,85.8895551,NULL
158,Faridpur Bazar,34,Faridpur Sadar,Bangladesh,23.5897207,89.8093218,Open Market
159,Umarga,35,Osmanabad,Maharashtra,17.8397675,76.6222433,Open Market
160,Gudimalkapur,36,Hyderabad,Telangana,17.378782,78.437402,Open Market
161,Mangalvedha ,22,Solapur,Maharashtra,17.5109871,75.4519516,NULL
162,Suvikar wafers ,26,Mumbai,Maharashtra,18.917201,72.82748,NULL
163,Trading,11,Begusarai,Bihar,25.418546,86.122163,NULL
164,Phaltan ,21,Satara,Maharashtra,17.9844507,74.4360424,NULL
165,Kaybee export ,21,Satara,Maharashtra,18.0345478,74.417904,NULL
168,Belgaum ,31,Gulbarga,Karnataka,15.84969519,74.49767411,NULL
170,kolhapur ,21,Satara,Maharashtra,16.70498733,74.24325284,NULL
171,Trading,1,Samastipur,Bihar,25.8764717,85.7942118,NULL
172,Kachhie dargah Patna,6,Patna,Bihar,25.62025,85.141779,NULL
173,agamkuon Patna,6,Patna,Bihar,25.599822,85.19248,NULL
174,muslepur Patna,6,Patna,Bihar,25.613598,85.169322,NULL
175,Mattipar patna,6,Patna,Bihar,25.5940947,85.1375645,NULL
176,Agamkuon,6,Patna,Bihar,25.599822,85.19248,NULL
177,Simari ,32,Buxar,Bihar,25.641932,84.109206,NULL
178,Gorakhpur,32,Buxar,Bihar,25.5612101,83.9810882,NULL
179,Balia,32,Buxar,Bihar,25.56471,83.977748,NULL
180,Haldi,32,Buxar,Bihar,25.5647103,83.9777482,NULL
181,saraiya ,8,Bhojpur,Bihar,25.650152,84.629599,NULL
182,Jadhua Bajar Samiti,10,Vaishali,Bihar,25.6792172,85.223398,NULL
183,walishpur,10,Vaishali,Bihar,25.6838206,85.354965,NULL
184,Dehri,32,Buxar,Bihar,25.418055,83.82874,NULL
185,Garahani,8,Bhojpur,Bihar,25.409992,84.560217,NULL
186,Isardhi,8,Bhojpur,Bihar,25.466155,84.5222189,NULL
187,Sonbarsa,2,Muzaffarpur,Bihar,26.1447809,85.3330053,NULL
188,Dumri,32,Buxar,Bihar,25.6228212,84.1843932,NULL
189,Purana Bhojpur,32,Buxar,Bihar,25.583754,84.130474,NULL
190,Bakarpur,10,Vaishali,Bihar,25.758811,85.345924,NULL
191,Gulzarbagh,6,Patna,Bihar,25.609633,85.203519,NULL
192,Dholi Sankra ,2,Muzaffarpur,Bihar,25.9854398,85.5725574,NULL
193,chhapra,8,Bhojpur,Bihar,25.466155,84.5222189,NULL
194,Damodarpur,2,Muzaffarpur,Bihar,26.1423333,85.3485072,NULL
195,maner,6,Patna,Bihar,25.603199,85.078538,NULL
196,Fatuha,7,Nalanda,Bihar,25.214166,85.24636,NULL
197,Jaitipur,7,Nalanda,Bihar,25.1571279,85.2864732,NULL
198,Khushrupur,6,Patna,Bihar,25.481082,85.388533,NULL
199,Samsa,1,Samastipur,Bihar,25.8629679,85.7810263,NULL
200,Rajendra nagar ,6,Patna,Bihar,25.6062727,85.1650548,NULL
201,kharahta,32,Buxar,Bihar,25.5647103,83.9777482,NULL
202,Niyajipur,32,Buxar,Bihar,25.649934,84.14743,NULL
203,Ujiyar ,32,Buxar,Bihar,25.587522,83.967812,NULL
204,chausa,32,Buxar,Bihar,25.5091994,83.892355,NULL
205,jaunpur ,32,Buxar,Bihar,25.5612101,83.9810882,NULL
206,patalganga,32,Buxar,Bihar,18.815147,77.1628959,NULL
207,Harauli,10,Vaishali,Bihar,25.77475,85.226557,NULL
208,V.Kota,40,Chittoor,Andhra Pradesh,13.001168,78.479457,Open Market
209, Ramakuppam,40,Chittoor,Andhra Pradesh,12.899458,78.4851396,Open Market
210,Chennai,44,Chennai,Tamil Nadu,13.0826802,80.2707184,Open Market
211,Vizianagaram,45,Vizianagaram,Andhra Pradesh,18.1066576,83.3955506,Open Market
212,Thagarapuvalasa,41,Visakhapatnam,Andhra Pradesh,17.9280669,83.4243305,Open Market
213,Anandhapuram,41,Visakhapatnam,Andhra Pradesh,17.9053509,83.3629107,Open Market
214,Guntur,42,Guntur,Andhra Pradesh,16.3066525,80.4365402,Open Market
215,Tenali,42,Guntur,Andhra Pradesh,16.2395313,80.6493396,Open Market
216,Marturu,43,Prakasam,Andhra Pradesh,15.9938431,80.1037721,Open Market
217,Satnapalli,42,Guntur,Andhra Pradesh,16.394404,80.151232,Open Market
218,Narakoduru,42,Guntur,Andhra Pradesh,16.226258,80.514671,Open Market
